TimeStamp,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,targets
2023-05-01 06:00:00+00:00,0.277086,0.29498579999999996,0.3031352,0.3121256,0.3206782,0.33122949999999995,0.346346,0.3561609,0.37927600000000006,0.39839789999999997,0.461272,0.342554
2023-05-01 07:00:00+00:00,0.263082,0.26711589999999996,0.2837018,0.2870622,0.29656520000000003,0.30192450000000004,0.3112032,0.33004880000000003,0.33852,0.3568641,0.420643,0.300599
2023-05-01 08:00:00+00:00,0.256397,0.2612666,0.266655,0.27249280000000003,0.2793226,0.28152350000000004,0.2898458,0.3051233,0.31028100000000003,0.3238017,0.381685,0.285788
2023-05-01 09:00:00+00:00,0.247868,0.2595151,0.264177,0.2660383,0.2720028,0.27466599999999997,0.28004819999999997,0.2851489,0.303884,0.313019,0.383414,0.271842
2023-05-01 10:00:00+00:00,0.254841,0.2617852,0.2711734,0.2785906,0.28142,0.28429,0.2989164,0.3076648,0.33784040000000004,0.36843020000000004,0.425369,0.301349
2023-05-01 11:00:00+00:00,0.252997,0.2609321,0.2690294,0.2846994,0.3104656,0.3172835,0.32610639999999996,0.33347140000000003,0.3674046,0.3850968,0.443926,0.325611
2023-05-01 12:00:00+00:00,0.0,0.2629434,0.2766252,0.3009338,0.3311432,0.3503915,0.359993,0.3667413,0.3959770000000001,0.4188274,0.47349,0.349931
2023-05-01 13:00:00+00:00,0.030544,0.2713346,0.2935104,0.318586,0.3255418,0.3332755,0.35081819999999997,0.3681938,0.38280340000000007,0.4118198,0.462252,0.345897
2023-05-01 14:00:00+00:00,0.0189603,0.2662399,0.28861200000000004,0.2992622,0.33189240000000003,0.34252550000000004,0.34785619999999995,0.35473109999999997,0.37150760000000005,0.39930240000000006,0.438854,0.33512
2023-05-01 15:00:00+00:00,0.0201706,0.26472450000000003,0.271634,0.28909650000000003,0.3194904,0.3369355,0.34033,0.35515209999999997,0.39150540000000006,0.4100333,0.436549,0.297084
2023-05-01 16:00:00+00:00,0.0,0.2398804,0.2569156,0.2750285,0.30598220000000004,0.325121,0.3432688,0.36619409999999997,0.3889924,0.4035843,0.449631,0.316621
2023-05-01 17:00:00+00:00,0.0,0.2507373,0.25648920000000003,0.28997269999999997,0.31345080000000003,0.3386065,0.360062,0.3675776,0.38526940000000004,0.40927870000000005,0.444156,0.322268
2023-05-01 18:00:00+00:00,0.208852,0.2605865,0.2826536,0.3012047,0.3283308,0.34563750000000004,0.36209060000000004,0.3706543,0.39828240000000004,0.42473530000000004,0.483691,0.390503
2023-05-01 19:00:00+00:00,0.209832,0.285212,0.2965766,0.3201878,0.335604,0.34834600000000004,0.3611338,0.3796797,0.4087136,0.4704359,0.543799,0.390042
2023-05-01 20:00:00+00:00,0.229311,0.2800134,0.31461500000000003,0.32731069999999995,0.34362620000000005,0.3685165,0.3977066,0.41715669999999994,0.4788268000000001,0.5481673,0.590479,0.416782
2023-05-01 21:00:00+00:00,0.272245,0.3357592,0.34885859999999996,0.3676695,0.3810396,0.421767,0.465272,0.479501,0.5276854000000001,0.5622987,0.68044,0.460293
2023-05-01 22:00:00+00:00,0.330394,0.3557515,0.37039,0.3963003,0.4270288,0.4515615,0.48769,0.5027318000000001,0.5851662000000001,0.6498848,0.728101,0.52674
2023-05-01 23:00:00+00:00,0.37258,0.39797710000000003,0.4085064,0.45858129999999997,0.4841632,0.5108345000000001,0.5526628,0.5653931999999999,0.644387,0.661226,0.769133,0.576936
2023-05-02 00:00:00+00:00,0.38278,0.4171216,0.4416202,0.4806763,0.5126786,0.5279505,0.5428652,0.5547541,0.6113878000000001,0.6874016000000001,0.780313,0.66148
2023-05-02 01:00:00+00:00,0.394306,0.4387042,0.456616,0.4904504,0.5044148,0.514955,0.5331718,0.5440413999999999,0.5928078000000001,0.6763658,0.771727,0.588751
2023-05-02 02:00:00+00:00,0.390157,0.44164390000000003,0.4588636,0.4858231,0.5033196,0.51726,0.5233978,0.5480579999999999,0.5691220000000001,0.6405540000000001,0.755648,0.633241
2023-05-02 03:00:00+00:00,0.369929,0.4176751,0.43184680000000003,0.4460119,0.4728562,0.482336,0.497499,0.5203892,0.5432342,0.6112035,0.685858,0.58172
2023-05-02 04:00:00+00:00,0.356962,0.3737837,0.3824688,0.3944907,0.40110660000000004,0.43920000000000003,0.4531118,0.4582413,0.48842820000000003,0.5330332,0.600853,0.503458
2023-05-02 05:00:00+00:00,0.325496,0.3354025,0.3406528,0.3466173,0.35346940000000004,0.38059050000000005,0.38932680000000003,0.4068872,0.4194446,0.458719,0.521554,0.424677
2023-05-02 06:00:00+00:00,0.277086,0.29498579999999996,0.3031352,0.3121256,0.3206782,0.33122949999999995,0.343038,0.35204579999999996,0.37927600000000006,0.39839789999999997,0.461272,0.395055
2023-05-02 07:00:00+00:00,0.263082,0.26711589999999996,0.2837018,0.2870622,0.29656520000000003,0.300743,0.3088636,0.33004880000000003,0.33852,0.3568641,0.420643,0.367739
2023-05-02 08:00:00+00:00,0.256397,0.2612666,0.266655,0.27249280000000003,0.2793226,0.28152350000000004,0.2898458,0.3051233,0.31028100000000003,0.3238017,0.381685,0.336849
2023-05-02 09:00:00+00:00,0.247868,0.2595151,0.264177,0.26926,0.2720028,0.27466599999999997,0.28004819999999997,0.2851489,0.303884,0.313019,0.383414,0.314604
2023-05-02 10:00:00+00:00,0.254841,0.2621776,0.273559,0.27961610000000003,0.2820538,0.2850395,0.3001382,0.3076648,0.33784040000000004,0.36843020000000004,0.425369,0.365664
2023-05-02 11:00:00+00:00,0.25461,0.2629206,0.27686700000000003,0.2930155,0.3125056,0.320943,0.3264178,0.33347140000000003,0.3674046,0.3850968,0.443926,0.369525
